mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,24,2346,512,100,1800,600,900,15,449000,12269,6625260,6281728,436731,2.73252,97.2675,6.144,0.167513,7.49491,63,0.21,59.4321
mobile,24,2346,512,100,1800,900,1200,20,599000,24285,13113900,12433920,574715,4.05426,95.9457,8.192,0.331571,5.19237,88,0.293333,53.222
mobile,24,2346,512,100,1800,1200,1500,23,689400,31505,17012700,16130560,657895,4.56992,95.4301,9.4208,0.430148,8.24961,107,0.356667,56.4404
mobile,24,2346,512,100,1800,1500,1800,23,690000,44185,23859900,22622720,645815,6.40362,93.5964,9.4208,0.603273,7.32177,93,0.31,57.7101
mobile,25,2346,512,100,1800,2,300,5,149000,8881,4795740,4547072,140119,5.9604,94.0396,2.048,0.122069,6.83878,25,0.0838926,49.4295
mobile,25,2346,512,100,1800,300,600,10,299000,14706,7941240,7529472,284294,4.91839,95.0816,4.096,0.200786,7.73053,43,0.143333,49.7157
mobile,25,2346,512,100,1800,600,900,15,449000,22397,12094380,11467264,426603,4.9882,95.0118,6.144,0.305794,7.21691,71,0.236667,53.1292
mobile,25,2346,512,100,1800,900,1200,20,599000,18918,10215720,9686016,580082,3.15826,96.8417,8.192,0.258294,6.32801,89,0.296667,58.6394
mobile,25,2346,512,100,1800,1200,1500,24,719200,31482,17000280,16118784,687718,4.37736,95.6226,9.8304,0.429834,8.57298,99,0.33,59.4758
mobile,25,2346,512,100,1800,1500,1800,24,720000,28818,15561720,14754816,691182,4.0025,95.9975,9.8304,0.393462,7.7764,106,0.353333,59.3403
mobile,26,2346,512,100,1800,2,300,5,149000,832,449280,425984,148168,0.558389,99.4416,2.048,0.0114358,16.6701,19,0.0637584,63.557
mobile,26,2346,512,100,1800,300,600,10,299000,21482,11600280,10998784,277518,7.18462,92.8154,4.096,0.293301,5.8763,41,0.136667,54.5318
mobile,26,2346,512,100,1800,600,900,15,449000,14738,7958520,7545856,434262,3.28241,96.7176,6.144,0.201223,6.26246,69,0.23,55.1782
mobile,26,2346,512,100,1800,900,1200,20,599000,32218,17397720,16495616,566782,5.37863,94.6214,8.192,0.439883,6.4153,86,0.286667,57.6461
mobile,26,2346,512,100,1800,1200,1500,25,749000,34941,18868140,17889792,714059,4.66502,95.335,10.24,0.477061,6.51407,104,0.346667,51.6288
mobile,26,2346,512,100,1800,1500,1800,25,750000,22306,12045240,11420672,727694,2.97413,97.0259,10.24,0.304551,7.88227,110,0.366667,55.02
mobile,27,2346,512,100,1800,2,300,5,149000,751,405540,384512,148249,0.504027,99.496,2.048,0.0103225,0.472638,26,0.0872483,56.8792
mobile,27,2346,512,100,1800,300,600,10,299000,24981,13489740,12790272,274019,8.35485,91.6452,4.096,0.341074,6.91214,42,0.14,56.5886
